Rainfall, Discharge ,Temperature ,RH,Date,ETO mm,Soil Moisture %
0,0,24.88,64.62,01-01-2000,3.66,34.77
0,3,24.73,62.25,02-01-2000,2.23,33.67
0,1.2,24.79,64.75,03-01-2000,2.36,32.5
0,1.2,25.4,65.56,04-01-2000,2.75,31.7
0,1.5,25.87,65.12,05-01-2000,2.47,31.18
0,2.7,26.05,67.94,06-01-2000,2.57,30.65
0,2.7,26.05,63.69,07-01-2000,2.76,30.12
0,2.7,25.87,66.69,08-01-2000,3.01,29.74
0,2.7,26.46,66.44,09-01-2000,3.02,32.75
0,2.7,26.88,72.06,10-01-2000,2.8,31.86
0,2.7,26.7,76.94,11-01-2000,3.84,33.21
0,2.7,25.89,71.44,12-01-2000,3.44,32.65
0,2.7,26.65,73.19,13-01-2000,3.06,31.59
0,2.8,26.98,75.56,14-01-2000,2.86,31.05
0,2.8,26.87,74.44,15-01-2000,2.69,33.22
0,2.8,27.4,67.94,16-01-2000,2.76,34.6
0,2.8,26.95,60.5,17-01-2000,2.83,34.46
0,2.8,26.39,55.25,18-01-2000,2.83,34.97
0,2.8,26.28,56.25,19-01-2000,2.57,35.75
0,2.7,25.94,59.62,20-01-2000,2.57,36.27
0,2.7,26.59,66.75,21-01-2000,3.03,36.32
0,2.7,26.38,62.06,22-01-2000,3.13,36.35
0,2.7,26.19,66.19,23-01-2000,3.03,36.27
0,2.7,25.97,65.75,24-01-2000,2.61,36.31
0,2.65,26.23,63.69,25-01-2000,2.81,35.8
0,2.65,25.73,61.94,26-01-2000,3.28,35.7
0,2.65,25.48,56.19,27-01-2000,2.96,35.24
0,2.6,26.23,56.5,28-01-2000,2.77,34.99
0,2.6,26.68,54.31,29-01-2000,2.63,33.83
0,2.6,26.51,55.06,30-01-2000,2.79,32.84
0,2.6,26.24,57.75,31-01-2000,3.01,32.37
0,2.6,25.77,62.12,01-02-2000,2.71,31.88
0,2.55,26.07,65.81,02-02-2000,2.91,31.23
0,2.55,26.44,61.38,03-02-2000,3.33,31.2
0,2.55,26.91,65.19,04-02-2000,3.76,32.17
0,2.55,27.05,69,05-02-2000,3.88,34.78
0,2.55,26.25,68.62,06-02-2000,2.89,35.26
0,2.5,25.3,68.56,07-02-2000,2.94,34.37
0,2.5,25.15,66.44,08-02-2000,3.39,33.36
0,2.5,25.55,67.5,09-02-2000,3.31,32.56
0,2.5,25.97,67.06,10-02-2000,3.32,31.17
0,2.5,25.8,70.62,11-02-2000,3.52,30.08
0,2.5,25.83,69.69,12-02-2000,3.73,28.69
